,userID,username,ranking
68703,1933509,TxD Elias,Bronze
14096,292502,Mika Hyakyua,Gold
50381,1378587,FukaJones,Silver
5315,28521,4EvaSolo,Diamond
12710,250516,Bravø,Platinum
46222,1255528,titty bender,Silver
8605,127511,Gambas Pasta,Platinum
35998,949504,WoodChuckFever,Silver
47807,1303513,FreakAZzzoid,Silver
22985,556591,D4L Meepmeister,Gold
48401,1321507,Luckylouis13,Silver
33161,862567,Yamimizu,Silver
2860,2866,Zoou,Master
63976,1789582,Cethorodehad,Bronze
24643,607549,Easy Breeze,Gold
11145,202551,Eiyad,Platinum
46058,1249564,Iron wifi,Silver
6176,52582,Krazznots,Platinum
9126,142532,Maat Ba,Platinum
67740,1903546,Shotta Toe,Bronze
47079,1279585,XiieRylle,Silver
38414,1021520,volume two,Silver
49025,1339531,CaptainJackuoff,Silver
1402,1408,I Feel Lucky,Master
32399,841505,russthabuss,Silver
17339,388545,AlbinoSpringRoll,Gold
53036,1459542,rxby,Silver
48070,1309576,No Role Modelz,Silver
2440,2446,Star Eliminator,Master
18450,421556,i play supp now,Gold
54992,1519598,NotBrenam,Silver
21255,505561,Juhstynnnn,Gold
25577,634583,Ddadtddb,Gold
19663,457569,IDURIK,Gold
9498,154504,Star King,Platinum
1208,1214,Corpse Draven,Master
24127,592533,MightyBokChoy,Gold
13278,265584,Ziken,Gold
68029,1912535,BotatoBoy,Bronze
7672,97578,RWEQX,Platinum
55986,1549592,BMoRz,Silver
13352,268558,TheCoolGuy360,Gold
2090,2096,Sosig,Master
59193,1645599,Salty Anarchist,Bronze
26423,661529,SYGsigh,Gold
67729,1903535,HIZNBRG,Bronze
54663,1510569,Very Adequate,Silver
60694,1690600,Sb Tr2y,Bronze
40889,1093595,I c shadow,Silver
18043,409549,MarcLeGrosBS,Gold
58963,1639569,itsdrewnow,Bronze
3873,3879,TheUrfGoesWurf,Master
46933,1276539,Solomasterwu,Silver
65826,1846532,Shanetrain,Bronze
843,849,Ning Hai,Grandmaster
61807,1726513,AtomicBrows,Bronze
29790,760596,TheBlàckHokàge,Gold
63469,1774575,LittleKidLover18,Bronze
40264,1075570,ctxo4,Silver
234,240,Mojo Jojo,Challenger
38575,1024581,Rembrandt,Silver
38190,1012596,Rübzïe,Silver
25152,622558,Yoko Yoko,Gold
62796,1756502,Riofrio09,Bronze
22804,553510,Go Figure,Gold
22895,556501,Apocalypse715,Gold
40538,1084544,PapaXSmurf,Silver
8437,121543,cc99cc,Platinum
22368,538574,Embrace Love,Gold
4544,4550,Taste of You,Diamond
8322,118528,HarryPotter6969,Platinum
55442,1534548,Anexx,Silver
4232,4238,winshugely,Master
24471,601577,Vantasin,Gold
43166,1162572,Deathyron,Silver
52873,1453579,George W Kush,Silver
42336,1138542,Bubbls,Silver
11698,220504,RMC chign0t,Platinum
35829,943535,Pumped Up Kìcks,Silver
16573,364579,DaitoYoshi,Gold
67424,1894530,Bubzs88,Bronze
32617,847523,NaturalNoPlastic,Silver
69856,1966562,oOwonkabarOo,Iron
52699,1450505,aceagate,Silver
9819,163525,woshangdanxiexie,Platinum
14301,298507,SnaggingTomb,Gold
26331,658537,Merethiel,Gold
43775,1180581,wakapeezy,Silver
19530,454536,Cakeman117,Gold
4988,16594,Br0kxn,Diamond
40290,1075596,artezx,Silver
34005,889511,uMadNinja,Silver
52974,1456580,Thundergamer160,Silver
50692,1387598,Away Myxagain,Silver
33806,883512,RangerzRulez,Silver
28905,736511,IcyFroFro,Gold
32547,844553,Niallon,Silver
67660,1900566,Horse Tranqs,Bronze
8831,133537,Zhan Di Ji Zhe,Platinum
38207,1015513,der König,Silver
34978,916584,Zaidith,Silver
42690,1147596,Ykenneend,Silver
13119,262525,The Wukong Dong,Gold
63986,1789592,Jama180,Bronze
31550,814556,Sanvy,Gold
35456,931562,LASERCUT FIGURS,Silver
24320,598526,MastHurBateOr,Gold
51357,1408563,Redaeva,Silver
50915,1396521,gorgeousashley,Silver
56484,1564590,LeagueSucksBalls,Silver
17395,391501,TheRealAuntHuni,Gold
26966,676572,Erinaceinae,Gold
7473,91579,Let Us Prey,Platinum
1504,1510,IronTissue,Master
49145,1342551,Lunće,Silver
32079,829585,I Gemini I,Silver
59068,1642574,Roast Potato,Bronze
8356,118562,kofyagami2k2,Platinum
48235,1315541,Hooker Bot,Silver
13809,283515,BETTER PLAYER 16,Gold
26720,670526,VinWind,Gold
54452,1504558,Orplar,Silver
47076,1279582,teddybutnotbear1,Silver
69678,1960584,EKENS200,Bronze
32514,844520,ZR0WS,Silver
18590,424596,Skadı,Gold
30822,793528,GGP913,Gold
62301,1741507,EduardoDP758,Bronze
55601,1540507,dragongeo100,Silver
38849,1033555,Kayoung24,Silver
51993,1426599,TDS10K HydroKing,Silver
28638,727544,DopeCocaine,Gold
37125,982531,Seamus O,Silver
6600,67506,8 1 20 5,Platinum
10326,178532,Thranos,Platinum
31360,808566,Katarina ls Fed,Gold
18943,436549,Stralizia,Gold
24445,601551,Le Moyen Cork,Gold
15231,325537,AWKWARDtreefrog,Gold
395,401,Becalmed 1200,Grandmaster
28254,715560,IC SOOAH,Gold
17153,382559,xX5h4d0w5n1p3rXx,Gold
20034,469540,hwaryn,Gold
16133,352539,InfamousFalcon,Gold
30460,781566,funsion doctor,Gold
37419,991525,tom mao mao,Silver
31106,802512,trenpapi,Gold
38415,1021521,Put Da X In Sex,Silver
25094,619600,SuperBigMario,Gold
61506,1717512,StillnessMove,Bronze
59111,1645517,TEEEEmo player,Bronze
7332,88538,Dreamscapes,Platinum
28643,727549,MushroomS4mb4,Gold
48014,1309520,Suik3n,Silver
32792,850598,BootiePics,Silver
8110,112516,tbbzlk,Platinum
6916,76522,TRL,Platinum
34404,901510,KnownTricks,Silver
2729,2735,DEEE DOOOOSE,Master
33911,886517,Astr0labe,Silver
69404,1954510,zoonall,Bronze
33206,865512,dorkdude2,Silver
63964,1789570,EpicLemonFTW,Bronze
31042,799548,kxrop,Gold
39816,1063522,OrganicMeatMan,Silver
2120,2126,Piqueos,Master
2253,2259,È Lóng Páo Xiào,Master
65268,1828574,A Balenced Champ,Bronze
35139,922545,laggylarry27,Silver
2346,2352,Mercurial,Master
3548,3554,Dotix,Master
40021,1069527,Kroimoke,Silver
48424,1321530,DPX69,Silver
1831,1837,synchronetta,Master
7599,97505,Chusman,Platinum
16329,358535,king worm,Gold
47041,1279547,Lick My Shadow,Silver
41687,1117593,SiriusFaze,Silver
28981,736587,golden89,Gold
53075,1459581,Super Legue,Silver
26339,658545,TrickyHayzz,Gold
16083,349589,Nerf BanhMi,Gold
12445,241551,Jisoo is Boo,Platinum
46182,1252588,lsmyvy,Silver
18129,412535,Gogeta Job,Gold
65843,1846549,McWoot,Bronze
55827,1546533,Velotix,Silver
54282,1495588,Trashcan012,Silver
64817,1816523,1Babyboy,Bronze
68579,1927585,slayerbount,Bronze
50340,1378546,Thresh Misses Q,Silver
39260,1045566,MyBussy MyChoice,Silver
38694,1027600,Riszucsu,Silver
68351,1921557,dannybeck28,Bronze
23938,586544,CyberCringe,Gold
51150,1402556,blewberri,Silver
62746,1753552,NotLongJustTemp,Bronze
30258,775564,Sariel ALan,Gold
49356,1348562,ThunnderBuddy,Silver
48765,1330571,omegawolf88,Silver
49227,1345533,JosephArc,Silver
8508,124514,Parteek,Platinum
24299,598505,Pluto reformed,Gold
20992,496598,Zinorino,Gold
54158,1492564,WonkierCracker69,Silver
58691,1630597,Pikle1010,Bronze
8280,115586,Younan,Platinum
2006,2012,PIant based,Master
13448,271554,MyLifeIsABeauty,Gold
43529,1174535,Yoslo,Silver
23983,586589,un chido mexican,Gold
44748,1210554,issamurky,Silver
46321,1258527,karinaaa,Silver
18761,430567,Vampyresquid,Gold
54225,1495531,Penguin Launcher,Silver
13214,265520,xMagicNoob6t9x,Gold
29248,745554,iliketoeatbao75,Gold
47618,1297524,Broke Boy Tyler,Silver
14478,301584,Joseph2Joestar,Gold
58064,1612570,Tron8001,Bronze
4623,7529,Shawner,Diamond
36354,958560,Chills765,Silver
38868,1033574,BHISCUTEATER,Silver
68578,1927584,The Mandasnorian,Bronze
44494,1201600,euw inter 99,Silver
61978,1729584,Lil Neeks,Bronze
65200,1828506,scgleader,Bronze
3039,3045,LUCIFERˆ,Master
6925,76531,Kipo Oak,Platinum
33952,886558,ApolloAdama,Silver
11065,199571,ZZiggs,Platinum
31582,814588,proaustin01,Gold
20757,490563,Yogbee,Gold
12026,229532,ok ily alot,Platinum
66838,1876544,abittyminnie,Bronze
68247,1918553,yourfavfox,Bronze
56344,1561550,elfudgey,Silver
24207,595513,chrispy3214,Gold
67694,1900600,Lazertitguy,Bronze
50740,1390546,glennux,Silver
54856,1516562,MustBeNiceBro,Silver
40649,1087555,ceo of jax,Silver
41869,1123575,A Stupid T0P,Silver
5215,25521,dan bitz,Diamond
1660,1666,upset222,Master
3244,3250,payaam,Master
31461,811567,Younng,Gold
6546,64552,Airbnb 4 Jnglers,Platinum
63110,1765516,BalboKa,Bronze
68603,1930509,whiteboi carti,Bronze
23788,580594,BlanklyIsCute,Gold
29363,748569,xemuy,Gold
65542,1837548,xJuanMexicanx,Bronze
69232,1948538,xXxVALKYRIEx,Bronze
2591,2597,Flay Mígnon,Master
38429,1021535,omgomgpooppee,Silver
60637,1690543,FerretPewPew,Bronze
12192,232598,Yasuo IRL,Platinum
55068,1522574,loltrollqw,Silver
66096,1855502,BamBamLam,Bronze
8034,109540,Nami Roll,Platinum
45864,1243570,Kkondae Intern,Silver
35323,928529,CanadianJerry,Silver
39590,1054596,xWoodLeagueHerox,Silver
29531,754537,my support suc,Gold
39618,1057524,M1dgapp,Silver
28033,709539,JP16JP16,Gold
22057,529563,kj77,Gold
33878,883584,Utility ADC,Silver
60753,1693559,LorintaHikashi,Bronze
49844,1363550,GoingHam808,Silver
59204,1648510,Lexpresso,Bronze
14853,313559,Worldlinnova,Gold
31891,823597,afqojju,Silver
39097,1042503,TJ Nation,Silver
23098,562504,Zësty,Gold
20424,481530,Busterwolf,Gold
64576,1807582,UItîma,Bronze
28619,727525,Disgustifuq,Gold
24778,610584,GoodWick,Gold
64587,1807593,RedWarren,Bronze
65289,1828595,BeastSlayer,Bronze
38205,1015511,TastethySalt,Silver
15824,343530,lllllIIIlllII,Gold
34356,898562,IndecisiveJew,Silver
35412,931518,oh0710,Silver
32454,841560,Lord Alkanphel,Silver
54016,1489522,mgkc,Silver
65056,1822562,Junior888,Bronze
1647,1653,gutguy10,Master
10634,187540,HolyRoll,Platinum
53580,1474586,theblaqman,Silver
43875,1183581,Hileenas,Silver
17717,400523,CBkooch,Gold
7510,94516,Respen,Platinum
68524,1927530,yaboiSQUINTY,Bronze
66943,1879549,Zarbrothhh,Bronze
39695,1060501,Vermeerman,Silver
62283,1738589,USMC1218,Bronze
30934,796540,Defulaha,Gold
16928,376534,FOX209ER,Gold
3280,3286,Birmi,Master
54386,1501592,xunling,Silver
63585,1777591,SOGwolf,Bronze
22990,556596,Botlaneintgame,Gold
33973,886579,Jungwayb,Silver
31373,808579,Bruce Janna,Gold
60449,1684555,SlyOps,Bronze
43755,1180561,NotRuined,Silver
27420,691526,C00GI,Gold
6284,55590,Embosom,Platinum
50446,1381552,lionblaze75,Silver
10256,175562,misterhappyfac69,Platinum
32078,829584,A Classy Gamer,Silver
51522,1414528,stixx,Silver
949,955,Predmyster,Grandmaster
43924,1186530,pepercorn123,Silver
40702,1090508,Mewlan,Silver
5552,34558,1996 10 30,Platinum
65195,1828501,Femifeb8,Bronze
18304,418510,luube,Gold
43770,1180576,VampireLion78,Silver
11392,208598,Danishbahbah,Platinum
36922,976528,WeaselLeaguer,Silver
56580,1567586,crook143,Silver
34457,901563,Colonel Fraust,Silver
12125,232531,uTrace,Platinum
11943,226549,Vel Goz,Platinum
15304,328510,devoice,Gold
61376,1711582,höt,Bronze
60877,1696583,Spidey2kx,Bronze
32148,832554,Sikreaper3,Silver
16642,367548,Roldyyy,Gold
62621,1750527,Treiice,Bronze
36443,961549,Just Chacne,Silver
38098,1012504,Deceitfül,Silver
51430,1411536,Supabuck,Silver
68423,1924529,McGoat2,Bronze
6062,49568,i Iike u sm,Platinum
56841,1576547,JJXDGG,Bronze
12145,232551,Malphite Me Br0,Platinum
55669,1540575,Kamol,Silver
44820,1213526,boogleoboo24,Silver
12501,244507,THEBEAST7000,Platinum
62014,1732520,JLKaras,Bronze
4734,10540,SauceAddict,Diamond
17972,406578,Chad Boomer,Gold
59175,1645581,xSaladrawr,Bronze
38564,1024570,Spatelmiller,Silver
44061,1189567,AsianChump,Silver
40855,1093561,ZackeryC,Silver
47880,1303586,GunarixTheGawd,Silver
61980,1729586,NewAndImproved,Bronze
39547,1054553,nutessa88,Silver
64008,1792514,yousmash,Bronze
27961,706567,Proxxies,Gold
37965,1006571,TheBigJoni,Silver
28471,721577,comfycorners,Gold
65612,1840518,xBabyJesus,Bronze
65503,1837509,ZazuBrainzap,Bronze
31019,799525,Rosé BP,Gold
20829,493535,War Damn Eagle,Gold
6865,73571,Your Babe,Platinum
38572,1024578,Snaily Snail,Silver
34693,907599,BB Scylla,Silver
32694,847600,Jijctaja,Silver
61560,1717566,PetitDieu,Bronze
55169,1525575,RogerSmth,Silver
60979,1699585,BrapBraaaaaap,Bronze
25213,625519,Kaiser253,Gold
45726,1240532,QueenSupple,Silver
4901,16507,Ulloa,Diamond
6732,70538,kscphdtc,Platinum
5937,46543,LilTop,Platinum
93,99,Pobelter,Challenger
57389,1591595,Bøgos,Bronze
47054,1279560,Rgo27,Silver
25558,634564,Iteridef,Gold
67914,1909520,Psykk,Bronze
16340,358546,OrangeHood97,Gold
839,845,rinnegan mid,Grandmaster
55054,1522560,CrogChamp,Silver
54602,1510508,ImPeeing3,Silver
10092,169598,Baarhyn,Platinum
950,956,TTV SaskioLoL,Grandmaster
58687,1630593,kraftep,Bronze
6643,67549,The Cúmé Lord,Platinum
34273,895579,Kyungmoney,Silver
44398,1201504,MrYisus529,Silver
54821,1516527,Jeovella,Silver
22752,550558,OneGreenDonut,Gold
19240,445546,Frost KEKW,Gold
41766,1120572,lllllDeathlllll,Silver
57745,1603551,ßøner,Bronze
49181,1342587,GennoskeYama,Silver
39275,1045581,Moopninja,Silver
68815,1936521,p0ssiblymike,Bronze
19201,445507,pbHypnotiCk,Gold
66193,1855599,OriannaGrande1,Bronze
53300,1468506,jesmo,Silver
26247,655553,Pls Dont Ult Me,Gold
20943,496549,Overpaid Coach,Gold
45056,1219562,Sailor Mystic,Silver
51199,1405505,FearTheWhite,Silver
50836,1393542,Tèémò,Silver
15162,322568,better myself,Gold
68595,1930501,Pokemonster929,Bronze
31458,811564,iamjasonLUL,Gold
37109,982515,MrFelon,Silver
69085,1942591,μdýr,Bronze
49954,1366560,xlizardwizard69x,Silver
8598,127504,LittleDazai,Platinum
49312,1348518,BleachOverLoad37,Silver
27990,706596,Eelone,Gold
7207,85513,Aegis Fate,Platinum
68662,1930568,iSlayre,Bronze
59399,1654505,oHinds,Bronze
36016,949522,Sussy Pantheon,Silver
61912,1729518,JadeX,Bronze
64223,1798529,Yuubee Enjoyer,Bronze
13269,265575,JayBanger,Gold
1126,1132,SOUPKITCHENCHEF,Master
63788,1783594,italian slommy,Bronze
33915,886521,MitBlade,Silver
68433,1924539,BallethGageth,Bronze
37102,982508,ANCHORbyTHEPIER,Silver
6946,76552,LambertkWaOcB,Platinum
53499,1474505,Noobdave,Silver
55688,1540594,Sen Blades,Silver
63689,1780595,Axtgamer,Bronze
49683,1357589,Bean Wizard,Silver
5932,46538,o0OepicO0o,Platinum
36615,967521,CrackerChap,Silver
11624,217530,CoffeeHouseMike,Platinum
7304,88510,Way Life Goes,Platinum
10678,187584,Egypt Booty Clap,Platinum
34177,892583,Stepbró,Silver
18594,424600,Dyslexic Chaos,Gold
6217,55523,lol chiken,Platinum
20981,496587,Ch1mpp,Gold
19243,445549,regdard,Gold
8062,109568,tempxfndiwxmnofx,Platinum
12974,256580,ChiseledChad,Gold
64876,1816582,KalistaHERE,Bronze
39484,1051590,KDA Stonerology,Silver
64722,1813528,Mozivo,Bronze
63463,1774569,MoogleGoogle,Bronze
57911,1609517,TalkingBagel,Bronze
22371,538577,Soul King,Gold
50309,1378515,Gfry,Silver
47734,1300540,Cojutae,Silver
19472,451578,Mì Ly Omachi,Gold
23152,562558,Magiphant,Gold
45025,1219531,itsSuavee,Silver
34340,898546,InProgressGG,Silver
20708,490514,SquatForSnacks,Gold
21950,526556,rod stewart,Gold
62884,1756590,accoyliv,Bronze
15396,331502,Paudfather,Gold
62652,1750558,Kabonk,Bronze
12518,244524,Incite,Platinum
33586,874592,Meltzyourface,Silver
57306,1591512,gGdUpton,Bronze
52981,1456587,Syzoltoss,Silver
50908,1396514,Wrryy,Silver
6049,49555,Chicken Go Bawk,Platinum
28761,730567,milkmochi,Gold
39025,1039531,Wear the hat,Silver
69072,1942578,JGDIFF7,Bronze
13497,274503,Masked League,Gold
2267,2273,Samy Losechester,Master
65804,1846510,Snowblind84,Bronze
29281,745587,Tooltips,Gold
6075,49581,Kvarsittning,Platinum
25983,646589,D3athWav3,Gold
33335,868541,Kyu Jun,Silver
22478,541584,my name is jalen,Gold
17304,388510,OnlyPlayLeona,Gold
30515,784521,FourtyEight,Gold
43653,1177559,EDG FIGHTING,Silver
48321,1318527,LewdFood,Silver
50353,1378559,WatchTh3mFlee,Silver
47693,1297599,SolomondNn,Silver
69420,1954526,Lexus367,Bronze
3966,3972,Noctal,Master
8465,121571,TakingDaHobbits,Platinum
