,userID,username,ranking
14331,313037,Schorel98,Gold
25131,637037,RedDragonCRO,Gold
47185,1297091,dudededude,Silver
62230,1750036,6AboveTheHooD6,Bronze
33264,880070,Rybocek,Silver
48926,1351032,adammadi2005,Silver
54124,1507030,patrys3210,Bronze
24056,604062,uucjgkos ,Gold
38755,1045061,I am her adcarry,Silver
57908,1621014,QBABUBA,Bronze
3986,3992,evyatardamari,Diamond
6127,67033,CO JA JAK NIE JA,Platinum
40071,1084077,Sasukefan08,Silver
3088,3094,Herukeas,Master
66330,1873036,nowieder123,Iron
43742,1195048,Missskrt,Silver
46746,1285052,GipnoToad,Silver
28475,736081,Northlight,Gold
54226,1510032,ROCKET entity,Bronze
37605,1012011,HotDoggie,Silver
45115,1237021,Marεk,Silver
51006,1414012,Kirios Toulis,Silver
3298,3304,wing00gr,Diamond
51003,1414009,PotejtoJuice,Silver
39218,1060024,AwstraW,Silver
59802,1678008,fr1ezbe,Bronze
19872,478078,Bimbak,Gold
22048,544054,Ëvelynn,Gold
52369,1453075,PrinterBroker123,Silver
10140,187046,kaikuluotain1,Platinum
56857,1588063,HeadShot002,Bronze
48519,1339025,TheNOXTFT,Silver
24569,619075,Nozykiem W Plecy,Gold
37514,1009020,JOHN FISTIKIS,Silver
40703,1105009,pmfriend02,Silver
24126,607032,fantaPL12132,Gold
54591,1519097,GN0OTEK,Bronze
50111,1387017,playforfun1,Silver
44285,1210091,amrmostfa,Silver
6188,67094,Blazë,Platinum
18028,424034,7mada Mzl2an,Gold
55647,1552053,RcCareCRAB,Bronze
6379,73085,MisterDubsteb,Platinum
57971,1621077,giorgosaekgate21,Bronze
33121,877027,ManaZon,Silver
18183,427089,Polski Yeti,Gold
24183,607089,Mysth,Gold
29045,754051,Ganj Chce,Gold
32432,856038,Kasuto91,Silver
50854,1408060,kaikkaik750,Silver
46633,1282039,A3koShaK,Silver
61034,1714040,Moefeusz,Bronze
30785,805091,piotreqqqqq,Gold
7966,121072,Senpai3,Platinum
33043,874049,denistoja,Silver
24633,622039,Shünsui Kyoraku,Gold
66608,1882014,kvettakblbe,Iron
65907,1861013,kutaf,Bronze
1208,1214,Bananko,Master
21354,523060,HasadoTelidake,Gold
30585,799091,Sanyajaa,Gold
47752,1315058,louaitk,Silver
3171,3177,LOL LMAO XD,Master
59910,1681016,PRO Colin,Bronze
35738,955044,Hairox,Silver
3244,3250,pixylator,Master
45868,1258074,BarkusJD,Silver
6806,88012,bronz 1 player,Platinum
24105,607011,alexut1311,Gold
6197,70003,Já pierdykam,Platinum
21643,532049,SpicyBoii,Gold
60324,1693030,Suicide michaf,Bronze
57975,1621081,AdventureJake123,Bronze
46750,1285056,So Honorable,Silver
64471,1816077,aca,Bronze
38215,1030021,Alphan Manas,Silver
10860,208066,BecsiHUN,Platinum
10156,187062,Tal1212B,Platinum
43481,1186087,ableduble1322,Silver
64926,1831032,spychacz5,Bronze
46307,1273013,AbissWalKer,Silver
4522,19028,PatrykOnLeBlanc,Diamond
54137,1507043,Nagryw69,Bronze
48831,1348037,ThéDarkShadøw,Silver
45430,1246036,xGelbPelle,Silver
22624,562030,º Itachi,Gold
21517,529023,Dima7a is inting,Gold
54949,1531055,SZUK1S,Bronze
55484,1546090,catfather47,Bronze
27229,700035,Constructor,Gold
31714,835020,MomoYT,Silver
55862,1558068,Jaszczi,Bronze
46331,1273037,iShâdowHêart,Silver
32475,856081,MHvelkejrobertek,Silver
24472,616078,G Eazyy,Gold
