,puuid
0,L_xLVMlj_sKWF70-7KjqPe8K448yCNOb_pG3FbzHH3Y-tmPaJmE80E2ASrmJOxdgC2VMUPifQwymBg
1,7F0u_Su6jw5sxWhPzOq8CfRP7qOxLOfjZuuwAVTTxVXqzTt8C3fdbq8m623YsBrvou-C-_yVZU4UVw
2,Sql8HYMCNo1_jd3zA3tCD9zrwVJ4drURR_Eo4A8kZWtB0mRnx52xxpDikPuSbo6PV1UJsNzklK_xvg
3,inyIFldKizz4YhSZftWTNbEiqjii7hPEQSGaOImmeEJLAV9KLMBFCXe7CSV5FqIuDDwOcUiDp14i0A
4,TR3lDQWD3ycyIltnPpDyvN8ZrYQy14SMH4QaXZXtQyWdW1Q0RuPU-RwShUXkHNFOzToRKfgQx8SvWA
5,FPe1JTcAqEhd_Qgfxc2yqun7LsayI01c8_-nYqbYeV275QNja3QShnJen7l1if72h8G7YOs1QcsemA
6,eVmBdmZWLel0VLzQLabAnIkVfHDlv8-DIot6yD-MWRcZzMLtnOlwxX27Tlt8rzABn7Pu7xxsD9EHbQ
7,9YGuBZAyZ412kB5A0nb028-DS2cP4IBIKPXhTsIgD2R-1Yamgs1HIGu9fs1YM-rc9B29Og_QKoxxMg
8,uHO-Vm_Q7JMmITOmlOe5j_9tJ1VoNGcKSvWQ4PE_BizlaKkc8JE91dFKr1SHXnURzE88k5s_LS32GA
9,QQPtAXH7V-tnVFimZhuy3RcRlds9bb3vcK3kAk6YlQdeXIiM_lTF1Pz0GueRk9sMZUuMAQYP0vd3KQ
10,ndLRkiTvIiLQSDAinrAkUwcUb35yDhcn8q_tj3PTp9deTJz3g_3YTu734asZAVgzJp7k57UFKUrXgw
11,v4L9yDFA-Uo1C78fr6b_9IwV-0Qsz0uumE1u873kZtEpx6_yDKsNEZoh59SXtjmP40KUbjr6DRuVew
12,njG91PFsU-x0RUtoXy9tynV64xu_2rum01v09GDLbeCwzwLPzrj3_x78A411rlF0LLhmNlLKtxeFAQ
13,TBkCNdRC-8S7luQelVAiUkrwYtqXJHlb4f_M6oV5b3nWP-BvJXY18DhZBPRdjFjJU0jFaFtvlvUF4Q
14,gO7rjIbZ-lU-Q_9_3NXrHkTqndnOX3gUxhudcsL7BKubS1FkafRVctF6z8eZZaDzMFnR70gkJH23Rw
