gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
-233153194,30.0,11.19.398.9466,NA1,11,1,1,1,1,1,1,1,42,3,4,1,11,45,64146,58125,2.4857142,0,35,2,0,0,3,50,59801,56783,2.0238094
-225269579,22.0,11.20.400.7328,NA1,11,2,0,2,0,0,2,0,9,0,0,0,0,15,31354,28550,1.0434783,0,23,3,0,0,3,21,38767,32280,4.888889
-225273622,19.0,11.20.400.7328,NA1,11,2,0,2,0,2,2,0,6,0,0,0,0,6,25304,24870,0.46153846,0,26,2,0,1,6,18,40075,33500,7.3333335
-470204662,27.0,11.5.361.3108,NA1,11,1,1,2,1,2,1,1,26,3,1,0,7,29,52859,46128,4.230769,0,13,1,0,1,2,14,43932,41360,1.0384616
-470310962,30.0,11.5.361.3108,NA1,11,2,2,1,2,1,1,0,32,1,0,1,4,47,55680,52450,2.3235295,1,34,3,2,0,8,48,60209,56735,2.5625
-202098206,35.0,11.22.406.3587,NA1,11,2,2,2,2,2,2,0,29,1,0,0,3,32,62191,59785,1.244898,2,49,4,1,1,8,61,76023,69375,3.7931035
-202114313,26.0,11.22.406.3587,NA1,11,2,2,2,2,1,1,0,20,0,0,1,1,19,45483,43900,0.9512195,1,41,4,2,1,10,69,60676,53400,5.5
-317862905,43.0,11.14.385.9967,NA1,11,1,2,1,1,2,1,1,40,4,4,1,11,50,83836,72340,2.0454545,2,44,2,0,1,3,62,81757,79000,2.65
-317868012,24.0,11.14.385.9967,NA1,11,1,0,1,1,1,1,0,26,3,1,1,10,34,47942,41358,3.5294118,0,17,0,0,0,0,18,38676,33980,1.3461539
-368622419,19.0,11.11.377.6311,NA1,11,1,0,1,1,1,1,0,43,3,1,1,7,64,44317,40255,15.285714,0,7,0,0,0,0,3,27213,26745,0.23255815
-375910939,33.0,11.10.376.4811,NA1,11,2,2,2,2,2,1,0,30,1,0,0,4,37,55807,51280,1.675,1,40,4,2,2,10,59,66521,60155,3.3
-228245146,28.0,11.20.400.7328,NA1,11,2,0,1,2,2,2,0,27,3,0,0,2,37,51613,49933,2.1333334,0,30,1,3,1,10,51,54828,52060,3.0
-231537623,33.0,11.20.400.7328,NA1,11,1,1,1,1,2,2,1,44,4,2,0,9,53,63023,53670,5.388889,0,18,0,0,1,4,17,54143,57535,0.79545456
-232773017,33.0,11.19.398.9466,NA1,11,2,2,2,2,1,1,0,43,2,0,1,7,51,65027,60425,2.5405405,2,37,3,2,0,10,45,70442,61728,1.9069767
-232736757,27.0,11.19.398.9466,NA1,11,2,2,2,2,2,2,0,15,0,0,0,0,21,41677,38970,0.9,1,40,3,3,2,11,46,61909,53730,5.733333
-205408265,31.0,11.21.403.3002,NA1,11,2,1,2,1,1,1,1,28,1,1,1,6,34,58725,56650,1.5121951,0,41,3,1,0,9,33,59695,56925,2.642857
-205412957,34.0,11.21.403.3002,NA1,11,2,2,2,2,2,1,0,34,2,0,0,5,60,62929,61900,2.292683,1,41,3,1,1,8,84,69219,62275,3.6764705
-221637698,27.0,11.20.400.7328,NA1,11,2,2,1,2,2,2,0,16,2,0,0,1,26,42346,40485,1.75,1,24,2,1,1,8,53,53327,47885,4.8125
-221644677,25.0,11.20.400.7328,NA1,11,1,1,1,0,1,1,1,20,4,0,1,3,41,46178,39785,12.2,0,5,0,0,1,2,5,37362,34485,0.5
-241097716,40.0,11.19.398.9466,NA1,11,1,2,1,1,2,2,0,59,5,5,1,11,51,83903,74225,2.0370371,1,54,1,0,1,1,75,76540,69375,2.1864407
-253536952,33.0,11.18.395.7538,NA1,11,1,2,2,1,1,1,0,37,4,2,2,10,43,62813,55185,4.4444447,1,18,1,0,0,4,17,53444,52710,0.9459459
