,puuid
41,NLB0Wt9QwMiH8yxIjXZv59XK9dKVVZGdp8Pa5DnHM9mGMfGEU2VlWamldKdE5PvVA-O7Vne92Etl6A
42,qdzU8VcwSC2nePGZwdV6nUz_hZT124xrLj5E4kfKtB_BNCxT5sSu7aKuW8Tgi60DRXY-oJz9nKms3A
43,VD948o97ite8KGpB4UY0t_S3j2W0Zcc9s3fsIw5E1FYb0lJ9Gta3OhA5oCTZCa89011-4APkdjvYVg
44,baZdTYUiF3RGf9SK_M4elnZgwPAhXd0jWIOcJA1JtztXEPFPfgiM6SzivXj85pI1cOy6AjyjJZCrlg
45,vfwc44KTOES3AuT5Qvwk0OKXmDTXNJDaWKqLGDdOEx0DYbZ7mFLQ3czPrvOsKqbSEXA6wj4Ut-CejA
46,A-b5A8RJvhqSlYCBPrNO9MGDcV2e0JRKGpcJdK-NGHn7M8QXs1z9TfzAWZ8ln1RtFdhCGpPHEhzu4w
47,2A2qFw3SWKaXmplhRYXF_stFpFOcBItAfOIXO55sNt_64OtahuphMXT2iQ4p7U0gLC4QMI0E-3OPIQ
48,aWQYmnJL-ZOGUUnHcg-gD1fqERjeQSkJ78PexcY27I1Rjv-pBs0uJv8U6B2NnwsCpsqEzTff12Vmkw
49,n58PdPPgjh4uzeKU1B_cAnj1fYQL8qSuvxjRIHsEDXfFm7ditPLg7khgaJyNPcv5N4Jmr0BgYy1bGA
50,oeLjDpYExz4TqllkImQHO3Arqztb4aqtXx4hrIAhekg9KsqgFJQXejnqJ8lsjuDFHkUxhrktnK5Wjw
51,xY0kPCh_jfvGQWf9XITNpYoV-PtA3Z_AIKDbRH0wXBaDyvPq_0FMSVbouRN6F2n0KfE6KzU7zRiixQ
52,N19gpTajk4v1JIV1Q6LfhLGlzynIvzyvC9TVln9pozHvoQa2k_mDe99K5f_cSlXfwbEhNP0D1dO-ag
53,Si8V9NPL5DoJIvdtlrFFrnPz5_rW05ghuFSY3SSKVD8_0hE45mXJDQvKZs0uojPmGNUH67_ojOQO0w
54,P3sRcMLw-icpAEq0fuLtEsrUaiIhlQ2aZM3TAMHQFzo5XNr0r8zex--RG349Hr4e3_66CNfyojMIBA
55,jDhV1g8rhRkEndoIeWU2Big-fpR4tyqH2DnU2EwjsDAGNk95H7Rg37sWUbxcrNVSjjNQFbFMEYsySQ
56,OQZQEN6hmiYiHR_kNyfsTj0EGQh_OTGZ7YWP8EgVfDMBskyZqxbWIO3jKTYCN1ozmnb-VuUQXVHlsw
57,5nYvnmGF4iyWCX9ND6unsZPCDNsVlVajdJ7cffTYVa5RC7Lrzu0EIdyx4d5GSsQ_VMAdFguU95KwyA
58,xu9zNSpgjMeKNZuKZdA00WAGiFScHTVlY6F4mTegmGyRPyYc1b3D56ZM1qHF9FNtPAxNLk_vYyelcg
59,fsPHthnFo2qEfyg2XnEHP7MueIHa2PUF-vdHhNdtSgG1VE5fuRlbQ2brn4yIBSJ9G-e245Rk4BPL-g
60,iSR73yJREXKDrUWG0rjVbb_-jBAR8oOa2ovZRGl7eyz8Qwj4NTMlRggB0bNhKpuzfcuR2dFBGhcTWA
61,Z0mvEhU22sStVGg3oTe4rZ34xgChpUsKOG2OJCmASNdRh20SHlyrDT57vmquI686HnVO52imUzWx7Q
62,fWiFBCFm0nWZemoEZWgxl3S3-ELhzEvl0T2qHreKZc0bMKUHImQUOeUvsub7Mc7IC7ldls_qKJw-7A
63,Okju4fyjETTmDyH7ROFHCOnYk4SfGcmpNsnvVLne02q89zFQCpxpPBHAYYNVf0A0SSz8HHyRY1JAMQ
64,fQfpN_LfT2csAM_3oZyw-HQ-oj6cIUkZGICRoLWXG6JGKkopckCaNJjGg1ZdLtssoPHZah2BqDtMiw
65,wK9seKwxygkb68HrfbRruPRlFvHn53JFmeCKCw3GX7XYw_aAQOjQZaQ3AD1EFDqwKTLCzpgdxYKmwQ
66,Y1U9i_NSGrU-VpXSQIGgksOJd-1PBC48CG-yNc-NRW_0X7-GBubJ62QlOwFk0MRSlbGD5rPUVSZIhA
67,hD3R-DNfm6DXqm9Z_GqvLPmhtEFCxhssFLk8iULVkDzavbcQ-8LjeeJv3wKMy9wG8g5bls7oH3Xydg
68,imqmk3h6NESNLtvgKiSuSKhWtZx6HrbtbZbiXBY5Q-M7IBTn9TrhJeUMuPiFw75630JDMcQ6uiaWgQ
69,XGcgeeHdr_IbnZlO_hfWxsket3Gdo3_B_unYNvj8vl_WpHkWpTxSqOUbVQQ366OiVJHhfJ5N3FneNQ
70,Yfp6WK-jXmhCAsYg1SmczvNVuuG7hYu2_ViFCfzS1rvMSAhbXndYdl_X8pbsnlUJhDVh7r2RUGGTSg
71,VnbiAXwi3QNGhG9TB5V3tDtUzjwxou2-6NW8Jx-UXuY8Ga9FLoTSLSGkoMu1B3l2fqUUZFmogC6VGw
72,-YaUmQoUk2S55TgOh6lRI_qDLn026iMBjHkrY8UoLMaCfsK2mtS5mqACkRiPwFVyAPLhbQIywDtGbw
73,AIXDPdt_8jvNpKIruT7Pz_qOPrZy8ITNUQIN7IDOrGf2VgUQvAuluZcMpikFgINJEmju0_VGtW49cg
74,V2V8hFlc7fScZYIbEc7aiT249sfMi1jqDzOzTQu-QNuiXNQ8JNOLvuhN5Sqspw82F8f5P5cAUGNkaA
